,max,min,mean,std
fixed acidity,15.9,4.6,8.319637273295838,1.7410963181277006
volatile acidity,1.58,0.12,0.5278205128205131,0.17905970415353498
citric acid,1.0,0.0,0.2709756097560964,0.19480113740531785
residual sugar,15.5,0.9,2.5388055034396517,1.4099280595072805
chlorides,0.611,0.012,0.08746654158849257,0.047065302010090154
free sulfur dioxide,72.0,1.0,15.874921826141339,10.46015696980973
total sulfur dioxide,289.0,6.0,46.46779237023139,32.89532447829901
density,1.00369,0.9900700000000001,0.9967466791744833,0.0018873339538425563
pH,4.01,2.74,3.311113195747343,0.15438646490354266
sulphates,2.0,0.33,0.6581488430268921,0.16950697959010977
alcohol,14.9,8.4,10.422983114446502,1.0656675818473926
quality,8.0,3.0,5.6360225140712945,0.8075694397347023
